,Location,Name,Type,FB,FB_year,fb_checkins,FB_likes,FB_followers,Twitter,T_year,T_following,tweets,T_followers,website,instagram,i_followers,i_following,i_posts,researcher,web_fact,type_fact,tw_ratio,tw_ratio_fix
16,"Brooklyn Park, MN",Brooklyn Park Farmers Market,Farmers Market,Y,2013,12,543,531,N,NA,NA,NA,NA,N,N,NA,NA,NA,Brant,N,Farmers Market,NA,NA
39,"Big Lake, MN",Brown Family Farm,CSA,Y,NA,NA,538,527,N,NA,NA,NA,NA,Y,N,NA,NA,NA,Meredith,Y,CSA,NA,NA
33,"Isanti, MN",Outstanding in our Field,CSA,Y,2012,52,351,335,N,NA,NA,NA,NA,Y,N,NA,NA,NA,NA,Y,CSA,NA,NA
26,"St. Paul, MN",St. Paul Farmers Market,Farmers Market,Y,2017,13257,259,271,Y,2010,1099,1172,3683,Y,Y,1676,360,500,Alex,Y,Farmers Market,0.298398045,0.297590035
35,"Hutchinson, MN",The Farm of Minnesota,CSA,Y,2011,15,238,233,N,NA,NA,NA,NA,Y,N,NA,NA,NA,NA,Y,CSA,NA,NA
17,"Becker, Mn",Becker Farmers Market,Farmers Market,Y,2016,0,179,178,N,NA,NA,NA,NA,Y,N,NA,NA,NA,Brant,Y,Farmers Market,NA,NA
20,"Mahnomen, MN",White Earth Community Farmers Market,Farmers Market,Y,2015,0,178,178,N,NA,NA,NA,NA,N,N,NA,NA,NA,NA,N,Farmers Market,NA,NA
22,"Wells, MN",Wells Farmers Market,Farmers Market,Y,2011,6,177,173,N,NA,NA,NA,NA,Y,N,NA,NA,NA,NA,Y,Farmers Market,NA,NA
14,"St. Paul, MN",Merriam Station Community Garden,Community Garden,Y,2012,NA,130,171,Y,2014,28,16,15,Y,Y,25,36,53,Brant,Y,Community Garden,1.866666667,1.12
1,"Crookston, MN",Riverside Community Garden,Community Garden,Y,2016,8,98,94,N,NA,NA,NA,NA,Y,N,NA,NA,NA,Katie,Y,Community Garden,NA,NA
46,"Vadnais Heights, MN",Urban's Farm & Greenhouses,Urban farm,Y,2010,14,93,93,N,NA,NA,NA,NA,N,N,NA,NA,NA,NA,N,Urban farm,NA,NA
34,"Monticello, MN",Gardner's Garden,CSA,Y,2015,2,58,57,N,NA,NA,NA,NA,N,N,NA,NA,NA,NA,N,CSA,NA,NA
5,"St. Francis, MN",Roselawn Heritage Farms/Community Gardens,Community Garden,Y,2011,0,47,46,N,NA,NA,NA,NA,Y,N,NA,NA,NA,Brant,Y,Community Garden,NA,NA
11,"St. Paul, MN",St. Anthony Park Community Garden,Community Garden,Y,2015,0,22,22,N,NA,NA,NA,NA,Y,N,NA,NA,NA,Brant,Y,Community Garden,NA,NA
27,"Lakeville, MN",Lakeville Farmers Market,Farmers Market,Y,2012,83,20,20,N,NA,NA,NA,NA,Y,N,NA,NA,NA,NA,Y,Farmers Market,NA,NA
